Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34661 - 34660	LD 045	29-Mar-11	Baseflow	3.82	0	0	0	0	0	0	0	0	20.42	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33299 - 33300	MC 001	6-Apr-09	Baseflow	0.44	18.95	0	5.06	0	0	0	0														
Milw Corridor Study USGS	33310 - 33311	MC 002	19-Apr-09	Event	7.89	26.91	0	0	0	0	0	0														
Milw Corridor Study USGS	33327 - 33328	MC 003	26-Apr-09	Event	0	23.48	0	0	0	0	0	0														
Milw Corridor Study USGS	33346 - 33347	MC 004	13-May-09	Event	6.99	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33350 - 33351	MC 005	14-May-09	Event	3.52	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33390 - 33391	MC 006	8-Jun-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33401 - 33402	MC 007	15-Jun-09	Baseflow	0	0	0	2.26	0	0	0	0														
Milw Corridor Study USGS	33437 - 33438	MC 009	11-Aug-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33464 - 33465	MC 011	14-Sep-09	Baseflow	0.35	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33476 - 33477	MC 012	22-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33486 - 33487	MC 013	27-Sep-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33496 - 33497	MC 014	1-Oct-09	Event	1.86	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33534 - 33535	MC 015	22-Oct-09	Event	5.49	14.85	0	0	0	0	0	0														
Milw Corridor Study USGS	33538 - 33539	MC 016	23-Oct-09	Event	2.03	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33558 - 33559	MC 017	17-Nov-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33581 - 33582	MC 018	24-Dec-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33598 - 33599	MC 019	20-Jan-10	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33608 - 33609	MC 020	24-Jan-10	Event	21.82	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33616 - 33617	MC 021	1-Mar-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33670 - 33671	MC 022	9-Mar-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33684 - 33685	MC 024	5-Apr-10	Event	0	2.35	0	0	0	0	0	0	8.59	3.27	0	0	0	0	0	0	0	0	0	1.95	0	0
Milw Corridor Study USGS	33704 - 33705	MC 025	25-Apr-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33706 - 33707	MC 026	7-May-10	Event	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33718 - 33719	MC 027	11-May-10	Event	0	0	0	68.67	0	0	0	0	7.94	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33935 - 33934	MC 028	13-May-10	Event	0	0	0	22.33	0	0	0	0	2.42	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33937 - 33936	MC 029	18-May-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33939 - 33938	MC 034	2-Jun-10	Event	0	3.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33942 - 33941	MC 036	14-Jul-10	Baseflow	0	0	0	0	0	0	0	0	1.86	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33944 - 33943	MC 038	22-Jul-10	Event	1.84	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33946 - 33945	MC 039	23-Jul-10	Event	0	2.03	0	0	0	0	0	0	21.54	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33948 - 33947	MC 040	4-Aug-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34067 - 34066	MC 042	1-Sep-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34119 - 34118	MC 043	13-Sep-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34069 - 34068	MC 044	13-Oct-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34081 - 34080	MC 045	23-Oct-10	Event	60.59	0	0	0	0	0	0	0	20.38	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34089 - 34088	MC 046	26-Oct-10	Event	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34117 - 34116	MC 047	22-Nov-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34323 - 34322	MC 048	11-Dec-10	Event	0.11	0	0	0	0	0	0	0	4.49	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS		MC 049	19-Dec-10	Baseflow																						
Milw Corridor Study USGS	34562 - 34561	MC 050	5-Jan-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34611 - 34610	MC 051	16-Feb-11	Event	0	0	0	0	0	0	0	0	0	7.75	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34609 - 34608	MC 052	20-Feb-11	Event	0	23.49	0	0	0	0	0	0	0	35.22	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34597 - 34596	MC 053	28-Feb-11	Baseflow	0	0	0	0	0	0	0	0	2.39	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34621 - 34620	MC 054	9-Mar-11	Event	0	0	0	0	0	0	0	0	0	34.18	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34633 - 34632	MC 055	14-Mar-11	Event	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34647 - 34646	MC 056	17-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.34	0	0	0	0	0	0	0
Milw Corridor Study USGS	34649 - 34648	MC 057	20-Mar-11	Event	0	0	0	0	0	0	0	0	0	2.54	0	0	0	0	0.43	0	0	0	0	0	0	0
Milw Corridor Study USGS	34659 - 34658	MC 058	22-Mar-11	Event	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34677 - 34676	MC 059	29-Mar-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33293 - 33294	MF 001	6-Apr-09	Baseflow	15.86	21.84	0	39.61	0	0	0	0														
Milw Corridor Study USGS	33306 - 33307	MF 002	20-Apr-09	Event	0.38	3.47	0	0.76	0	0	0	0														
Milw Corridor Study USGS	33393 - 33394	MF 003	15-Jun-09	Baseflow	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33417 - 33418	MF 005	22-Jul-09	Event	0	0	0	0	0	0	0	0														
Milw Corridor Study USGS	33439 - 33440	MF 006	11-Aug-09	Baseflow	0	0	0	0	0	0	0	0														
