SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
MC018	12-24-2009 19:22	12-27-2009 19:15	no	Mix	yes	282	Rain on top of snow. Merry Xmas. Sampling ended about 12 hours early because accum vol had NA probably from a bad Q value from the ADCP	12-24-2009 14:00	12-28-2009 01:00	12-24-2009 14:00	12-28-2009 01:00	5:22	5:45	
MC018S	12-17-2009 16:45	NA	no	Sediment	no	NA	bed sediment							
MC019	01-20-2010 13:32	01-21-2010 13:31	no	Baseflow	no	242	Baseflow							
MC020	01-24-2010 01:32	01-26-2010 13:46	no	Mix	yes	85.6	"Snowmelt with a little rain (maybe < 0.25"")  SENT IN WITH THE WRONG ENDING TIME AND VOLUME (8:12 AND 81L)"	01-23-2010 21:00	01-26-2010 20:00	01-23-2010 21:00	01-26-2010 20:00	4:32	6:14	
MC021	03-01-2010 09:49	03-02-2010 09:16	no	Baseflow	yes	242	Baseflow with a little snowmelt from mid-thirties temps and sun							
MC022	03-09-2010 17:21	03-15-2010 08:43	no	Mix	yes	705	Snowmelt with rain	03-09-2010 12:00	03-15-2010 16:00	03-09-2010 12:00	03-15-2010 16:00	5:21	7:17	
MC023S	03-23-2010 14:45	NA	no	Sediment	no	NA	Bed Sediment 							
MC024	04-05-2010 22:53	04-07-2010 13:37	no	Rainfall	yes	242	Rainfall event	04-05-2010 20:00	04-07-2010 13:37	04-05-2010 20:00	04-07-2010 13:37	2:53	0:00	
MC025	04-25-2010 00:01	04-26-2010 12:37	no	Rainfall	yes	373	Rainfall event	04-24-2010 19:00	04-26-2010 13:00	04-24-2010 19:00	04-26-2010 13:00	5:01	0:23	
MC026	05-07-2010 09:11	05-09-2010 07:19	no	Rainfall	yes	443	Rainfall event	05-07-2010 04:00	05-09-2010 09:30	05-07-2010 04:00	05-09-2010 09:30	5:11	2:11	
MC027	05-11-2010 05:21	05-12-2010 08:45	yes	Rainfall	yes	478	Rainfall event	05-11-2010 04:00	05-14-2010 07:00	05-11-2010 04:00	05-12-2010 12:00	1:21	3:15	
MC028	05-13-2010 01:06	05-14-2010 06:48	yes	Rainfall	yes	418	Rainfall event			05-12-2010 21:30	05-14-2010 07:00	3:36	0:12	
MC029	05-18-2010 08:07	05-19-2010 13:05	no	Baseflow	yes	156	Baseflow							
MC034	06-02-2010 17:43	06-03-2010 10:56	no	Rainfall 	yes	176	Rainfall event--very flashy thunderstorm	06-02-2010 14:00	06-03-2010 22:00	06-02-2010 14:00	06-03-2010 22:00	3:43	11:04	
MC035S	06-30-2010 15:40	NA	no	Sediment	no	NA	Bed Sediment 							
MC036	07-13-2010 08:53	07-14-2010 15:27	no	Baseflow	yes	136	Baseflow--troubles with accumulation forced a change to time composite at 7/14 9:30 with 10 minute samples							
MC037	07-15-2010 07:49	07-16-2010 07:02	no	Rainfall 	yes	NA	"Sampled only for bacteria for GLWI--CSO, caught the end of the hydrograph"	07-15-2010 12:55	07-16-2010 13:00	07-15-2010 12:55	07-16-2010 13:00	###############################################################################################################################################################################################################################################################	5:58	missing Q data from 7/12 to 7/15/10 12:50
MC038	07-22-2010 10:32	07-23-2010 13:33	yes	Rainfall	yes	594	"huge storm, CSOs, flooding; divided event into two samples; rising limb, peak, and some of falling limb"	07-22-2010 09:00	07-26-2010 06:00	07-22-2010 09:00	07-23-2010 13:54	1:32	0:21	
MC039	07-23-2010 14:14	07-26-2010 05:47	yes	Rainfall	yes	267	"huge storm, CSOs, flooding; second of two samples; falling limb and second peak"			07-23-2010 13:54	07-26-2010 06:00	0:20	0:13	
MC040	08-04-2010 11:27	08-05-2010 08:05	no	Baseflow	yes	212	Baseflow							
MC041	08-05-2010 13:10	08-05-2010 13:20	no	Blank	no	10	blank							
