Study.Sample.ID	USDA.LIDE	GLWI.FT	Site.Name	Abbrev	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	GMTbpdate	GMTepdate	Collection.Start.Date	GLWI.Sample.Arrival	cmonth	Sample.Type	Event.Type	Event.Type.2	GLWI.Event	Adenovirus.C.D.F	Adenovirus.A	Enterovirus	Human_virus	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacSp.CN.100ml	Entero.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	DO_max	DO_min	Q_mean	Q_max	SC_mean	SC_max	SC_min	TURB_mean	TURB_max	WTEMP_max	WTEMP_min	AntBase	WW.Adenovirus.C.D.F	WW.Adenovirus.A	WW.Enterovirus	WW.G1.Norovirus	WWFIB.BacHuman..CN.100ml.	WWFIB.BacSp..CN.100ml.	WWFIB.Entero..CN.100ml.	WWFIB.Lachno.2..CN.100ml.
MC 039	33946 - 33945	9614	16th St.	MC	TRUE	MC 038	7/23/2010 14:14	7/26/2010 5:47	7/23/2010 20:14	7/26/2010 11:47	23-Jul-10	26-Jul-10	Jul	Event	Rainfall 	CSO	CSO	0	2.03	0	2.03	520	1700	BLD	25287	NA	10052	2089	2089	7.5	6.5	1589.941081	3556.771	513.9397117	637	360	26.68152031	72	23.9	22.1	112	17404.40658	61416.08494	20147.90896	138028.2888	11324883.84	348926931.1	40700217.07	15534883.65
MC 040	33948 - 33947	9828	16th St.	MC	FALSE	MC 040	8/4/2010 11:27	8/5/2010 8:05	8/4/2010 17:27	8/5/2010 14:05	4-Aug-10	5-Aug-10	Aug	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	50	290	5508	5128	NA	3199	4159	4159	5.9	4	22.35481448	1799.709	930.5362903	1000	883	6.569354839	10	28.2	26.5	74	32157.28111	39600.43509	19163.80535	40379.45236	13166751.11	339557028.8	47483045.45	24588831.65
MC 042	34067 - 34066	9763	16th St.	MC	FALSE	MC 042	9/1/2010 3:23	9/1/2010 20:34	9/1/2010 9:23	9/2/2010 2:34	1-Sep-10	2-Sep-10	Sep	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	7900	24900	5272	163176	NA	11108	6885	6885	8.9	5.2	435.3102186	1528.538	569.907767	1080	425	12.54902913	21	26.7	23.2	19.16	998.141708	159.9655433	2953.254462	3891.659978	14557649.29	311790810.2	49960538.33	23753512.38
MC 043	34119 - 34118	10040	16th St.	MC	FALSE	MC 043	9/13/2010 9:25	9/14/2010 11:07	9/13/2010 15:25	9/14/2010 17:07	13-Sep-10	14-Sep-10	Sep	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	80	430	95619	8881	NA	323	180	180	8.2	6.6	63.70760524	803.6302	707.1456311	741	682	5.22815534	10	20.5	19	27	34834.74257	27.89692708	23778.87109	51529.77763	17838836.17	330314020.3	58116988.35	25553760.07
MC 044	34069 - 34068	10123	16th St.	MC	FALSE	MC 044	10/13/2010 11:15	10/14/2010 10:30	10/13/2010 17:15	10/14/2010 16:30	13-Oct-10	14-Oct-10	Oct	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	0	90	48589	3207	NA	883	1006	1006	8.1	6.6	7.168434514	610.455	874.8785714	884	868	5.673571429	7.3	21.3	20.2	13	199.8184983	114.2248611	2061.817587	27752.81582	14661625.6	491350907.6	45624341.11	27841967.75
MC 045	34081 - 34080	10147	16th St.	MC	FALSE	MC 045	10/23/2010 21:06	10/24/2010 18:45	10/24/2010 3:06	10/25/2010 0:45	23-Oct-10	25-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	60.59	0	0	60.59	4800	10200	2424895	735113	NA	18866	19577	19577	7.8	6.1	309.3075758	2093.605	608.2153846	1030	393	21.22076923	38	18.6	13.9	13	2546.889871	47229.85113	60508.10038	1910.136996	13522315.42	347082281.8	61995048.63	14818430.56
MC 046	34089 - 34088	10217	16th St.	MC	FALSE	MC 046	10/26/2010 6:01	10/27/2010 0:14	10/26/2010 12:01	10/27/2010 6:14	26-Oct-10	26-Oct-10	Oct	Event	Rainfall 	Rainfall 	Rain	1.43	0	0	1.43	3000	4600	165739	91092	NA	3338	488	488	6.9	1.9	259.5122404	2060.723	492.8256881	685	404	24.7233945	38	17.9	14.6	13	2465.091643	42938.26331	55320.03187	4218.388177	13307179.85	353396146.3	60926534.96	13907983.47
MC 047	34117 - 34116	10338	16th St.	MC	FALSE	MC 047	11/22/2010 7:51	11/23/2010 8:21	11/22/2010 13:51	11/23/2010 14:21	22-Nov-10	23-Nov-10	Nov	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	12000	9800	5498490	285636	NA	34965	18420	18420	8.4	7.6	145.7195988	2177.257	962.0918367	1130	815	11.81394558	22	11.5	8.9	17	59306.06596	1341.344813	9915.139135	303281.5286	14535991.24	279385091.6	129720015.5	44608524.65
MC 048	34323 - 34322	10358	16th St.	MC	FALSE	MC 048	12/11/2010 16:27	12/12/2010 20:18	12/11/2010 22:27	12/13/2010 2:18	11-Dec-10	13-Dec-10	Dec	Event	Mix	Mix	Rain	0.11	0	0	0.11	2800	2500	2853477	223553	NA	40930	27717	27717	12.7	8.6	482.5924135	1589.798	1547.749254	2480	953	39.66597015	100	5.4	0	32	47806.11066	1103.00754	0	211936.4638	24985130.11	433227418.7	85253813.28	22985332.9
MC 049		10365	16th St.	MC	FALSE	MC 049	12/19/2010 12:44	12/20/2010 11:11	12/19/2010 18:44	12/20/2010 17:11	19-Dec-10	20-Dec-10	Dec	Baseflow	Baseflow	Baseflow	Baseflow	NA	NA	NA	NA	10	70	287760	20670	NA	6120	4802	4802	8.7	4.6	57.92176089	693.4876	1627.084871	1720	1590	3.683394834	4.3	5.3	2.3	33	234505.8587	62.7744709	1988.036259	116022.4761	27716859.17	407008015	127234825.1	37574584.44
MC 050	34562 - 34561	10372	16th St.	MC	FALSE	MC 050	1/5/2011 10:44	1/6/2011 8:44	1/5/2011 16:44	1/6/2011 14:44	5-Jan-11	6-Jan-11	Jan	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	30	90	1342038	40758	NA	15996	16244	16244	13.5	10.3	108.5401339	701.0368	2004.318182	2080	1950	2.803409091	3.5	1.8	0	37	610510.9009	475.6216931	15062.70237	879064.4626	19572830.2	230869371.8	171638453.1	35996839.99
MC 051	34611 - 34610	10468	16th St.	MC	TRUE	MC 051	2/16/2011 17:17	2/20/2011 9:21	2/16/2011 23:17	2/20/2011 15:21	16-Feb-11	21-Feb-11	Feb	Event	Mix	Mix	NA	0	0	0	0	0	90	197265	22609	NA	3858	1769	1769	14.8	2.7	339.6009641	1644.856	2508.183538	3660	1790	24.4499527	74	8.8	0	65	190104.9526	7923.351339	0	0	25260532.4	287961261.8	217291852.8	40544905.65
MC 052	34609 - 34608	NA	16th St.	MC	TRUE	MC 051	2/20/2011 10:49	2/21/2011 4:55	2/20/2011 16:49	2/21/2011 10:55	20-Feb-11		Feb	Event	Snowmelt	Snowmelt	Baseflow	0	23.49	0	23.49	NA	NA			NA	NA		NA	14.4	14	153.6820739	1982.578	1930.458716	2270	1780	9.672477064	12	0	0	145	295774.8813	12105.35741	0	0	28581500.54	315136133.7	260332040.9	43446990.35
MC 053	34597 - 34596	10475	16th St.	MC	FALSE	MC 053	2/28/2011 11:13	3/1/2011 9:40	2/28/2011 17:13	3/1/2011 15:40	28-Feb-11	1-Mar-11	Feb	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	15	16	274917	23407	NA	4365	5605	5605	12.6	10.9	8.148521911	1053.603	2836.703704	3130	2510	4.528518519	5.2	4.1	2.4	93	359371.9112	16421.05028	8954.041322	4792.403305	29064901.92	323121713.5	296865160	43539735.71
MC 054	34621 - 34620	10483	16th St.	MC	FALSE	MC 054	3/9/2011 6:32	3/10/2011 16:32	3/9/2011 12:32	3/10/2011 22:32	9-Mar-11	10-Mar-11	Mar	Event	Mix	Mix	Rain	0	0	0	0	460	450	1257885	52356	NA	34161	38210	38210	13	11.3	161.3290334	1321.339	3167.769608	4180	2580	18.44191176	37	3.8	1.1	112	198571.7076	14570.67727	31421.54378	16817.51344	20209093.2	260768332.5	258041676.9	34973694.18
MC 055	34633 - 34632	10487	16th St.	MC	FALSE	MC 055	3/14/2011 12:04	3/17/2011 8:04	3/14/2011 18:04	3/17/2011 14:04	14-Mar-11	17-Mar-11	Mar	Event	Snowmelt	Snowmelt	Baseflow	0	0	0	0	120	140	402728	24611	NA	8933	9965	9965	16.5	11.8	274.3840918	1442.281	1952.407862	2230	1580	6.586609337	12	5.8	2.5	196.17	152661.859	12828.51987	33052.28011	16696.30132	19062623.94	264230068.5	217658851.2	33318059.9
MC 056	34647 - 34646	10522	16th St.	MC	FALSE	MC 056	3/17/2011 14:07	3/20/2011 6:39	3/17/2011 20:07	3/20/2011 12:39	17-Mar-11	21-Mar-11	Mar	Event	Snowmelt	Snowmelt	NA	0	0	0	0	260	100	320856	39050	NA	5217	4820	4820	14.4	11.5	553.2762983	1823.469	1154.470284	1490	1060	13.20310078	24	6	3.4	250.95	139502.6305	11620.43551	30726.54729	14586.23001	19499258.33	277227992.2	189152809.5	33270056.66
MC 057	34649 - 34648	NA	16th St.	MC	FALSE	MC 057	3/20/2011 7:18	3/21/2011 8:28	3/20/2011 13:18	3/21/2011 14:28	20-Mar-11		Mar	Event	Rainfall 	Rainfall 	Rain	0	0	0	0	NA	NA			NA	NA		NA	12.5	12	1110.958804	3380.987	939.0562914	1180	729	62.31887417	110	4.3	3.4	250.95	127919.0737	10557.00585	28679.29519	12728.81636	19883610.59	288669558.7	164060050.3	33227801.27
MC 058	34659 - 34658	10592	16th St.	MC	FALSE	MC 058	3/22/2011 14:10	3/24/2011 7:47	3/22/2011 20:10	3/24/2011 13:47	22-Mar-11	24-Mar-11	Mar	Event	Rainfall 	Rainfall 	Rain	0.46	0	0	0.46	990	430	351404	41788	NA	7574	5311	5311	13.2	12.1	1412.172803	3873.566	840.154	967	714	35.242	80	4.2	1.2	845.01	118168.8643	9661.88685	26956.06483	11165.37843	20207130.83	298300250.8	142938760.8	33192233.71
MC 059	34677 - 34676	10597	16th St.	MC	FALSE	MC 059	3/29/2011 9:07	3/30/2011 13:06	3/29/2011 15:07	3/30/2011 19:06	29-Mar-11	30-Mar-11	Mar	Baseflow	Baseflow	Baseflow	Baseflow	0	0	0	0	39	38	235934	11659	NA	4204	4731	4731	13.9	11.7	186.9243264	810.6733	1330.625	1370	1270	6.311011905	12	7	2.1	231.46	89211.45329	7003.448668	21838.19632	6522.08175	22760134.6	309358020.4	133808961.5	29979807.81
NA	NA	9493	16th St.	MC	NA	MC 037	7/15/2010 7:49	7/16/2010 7:02	7/15/2010 13:49	7/16/2010 13:02	NA	16-Jul-10	Jul	Event	Rainfall 	CSO	CSO	NA	NA	NA	NA	35000	10400	51603	203196	NA	128100	55463	55463	7.9	6.9	2337.683052	4112.935	336.3620072	419	300	67.1827957	89	23.2	22.1	61	15588.62554	10885.3573	17380.48286	22351.32613	14748682.68	390847073.4	69405759.84	24397229.94
