FT#	Site Code	Abb.	Sample Date	Event 	Enterococci CFU/100ml	E. coli CFU/100ml	BacHuman CN/100ml	RERUN BacHuman CN/100ml	BacSp CN/100ml	Ratio Human/Sp	Entero CN/100ml	Lachno 2 CN/100ml	RERUN Lachno 2 CN/100ml	Ruminant CN/100ml	Cow CN/100ml	Notes
8951	USGSHW025	HW	14-May-10	Rain	2700.00 	2700.00 	9151.52 		238794.61 	0.04 	87765.06 	10516.95 				
8952	USGSMW026	MW	14-May-10	Rain	2400.00 	1400.00 	9513.90 		449491.90 	0.02 	43775.17 	5635.15 				
8953	USGSMC028	MC	14-May-10	Rain	2500.00 	1700.00 	3701.67 		218697.68 	0.02 	9468.63 	2106.59 				
8969	USGSLD025	LD	21-May-10	Baseflow	60.00 	100.00 	3508.14 		143602.36 	0.02 	3845.92 	1785.76 				
8970	USGSMW027	MW	21-May-10	Baseflow	60.00 	30.00 	809.64 	465.00 	90063.84 	0.01 	3043.23 	BLD	1013.00 			
8971	USGSMF022	MF	21-May-10	Baseflow	60.00 	40.00 	BLD	240.00 	55874.17 		3354.97 	BLD	360.00 			
8972	USGSUW007	UW	21-May-10	Baseflow	350.00 	180.00 	2917.06 		217638.29 	0.01 	9616.76 	1520.74 				
8973	USGSMC029	MC	21-May-10	Baseflow	30.00 	130.00 	BLD	443.00 	89472.47 		5261.03 	1460.64 	2198.00 			
8974	USGSHW026	HW	21-May-10	Baseflow	70.00 	170.00 	1482.07 		BLD		9387.57 	825.20 				
9029	USGSHW027	HW	04-Jun-10	Rain	23000.00 	6500.00 	1309.72 		1686507.07 	0.00 	426241.67 	2533.95 				
9030	USGSMW028	MW	04-Jun-10	Rain	33000.00 	7200.00 	4113.60 		2200512.82 	0.00 	461813.08 	4693.33 				
9031	USGSMC030	MC	04-Jun-10	Rain	31000.00 	5000.00 	9952.48 		2538873.20 	0.00 	245534.95 	8980.69 				
9312	USGSMF023	MF	18-Jun-10	CSO	14400.00 	4500.00 	2823.76 		49360.48 	0.06 	93358.03 	2749.29 				
9313	USGSHW028	HW	18-Jun-10	CSO	TNTC	24500.00 	6461.38 		221617.49 	0.03 	335050.36 	3737.29 				
9314	USGSMW033	MW	18-Jun-10	CSO	20800.00 	18800.00 	48559.84 	26798.00 	178588.09 	0.27 	387985.22 	15981.62 	19448.00 			
9452	USGSMC036	MC	16-Jul-10	Baseflow	230.00 	380.00 	BLD	278.00 	6141.43 		2572.61 	BLD	488.00 			
9453	USGSHW030	HW	16-Jul-10	Baseflow	690.00 	400.00 	BLD	90.00 	5643.58 		5661.94 	525.04 	368.00 			
9454	USGSLD027	LD	16-Jul-10	Baseflow	860.00 	840.00 	BLD	263.00 	3632.17 		6809.68 	BLD	83.00 			
9455	USGSMW036	MW	16-Jul-10	Baseflow	170.00 	160.00 	BLD	120.00 	4229.34 		2674.05 	BLD	113.00 			
9456	USGSMF025	MF	16-Jul-10	Baseflow	170.00 	280.00 	BLD	BLD	1289.20 		2527.38 	BLD	233.00 			
9457	USGSUW013	UW	16-Jul-10	Baseflow	270.00 	400.00 	BLD	BLD	5734.80 		7221.64 	BLD	0.00 			
9493	USGSMC037	MC	16-Jul-10	CSO	35000.00 	10400.00 	175643.64 	55463.00 	51602.51 	3.40 	203196.39 	121844.87 	128100.00 			
9494	USGSMW037	MW	16-Jul-10	CSO	11000.00 	5000.00 	1838.06 		10557.50 	0.17 	58323.98 	1360.73 				
9495	USGSLD028	LD	16-Jul-10	CSO	27000.00 	9800.00 	3238.40 		34518.10 	0.09 	209532.87 	13461.35 				
9496	USGSHW031	HW	16-Jul-10	CSO	27000.00 	9800.00 	7882.56 	2378.00 	22724.52 	0.35 	145108.82 	BLD	8385.00 			
9497	USGSMF026	MF	16-Jul-10	CSO	9900.00 	5000.00 	BLD	203.00 	2375.97 		78531.31 	BLD	428.00 			
9498	USGSUW014	UW	16-Jul-10	CSO	35000.00 	10400.00 	BLD	428.00 	13542.85 		203194.60 	12001.41 	600.00 			
9572	USHSUW015	UW	23-Jul-10	CSO	69000.00 	13500.00 	16878.35 	3878.00 	29458.99 	0.57 	168525.12 	1323.93 	7418.00 			
9573	USGSMF027	MF	23-Jul-10	CSO	27000.00 	10600.00 	5351.82 		9312.72 	0.57 	142137.06 	6390.03 				
9574	USGSHW032	HW	23-Jul-10	CSO	43000.00 	25000.00 	12372.67 	4163.00 	138237.81 	0.09 	485815.25 	3111.52 	10350.00 			
9575	USGSLD029	LD	23-Jul-10	CSO	107000.00 	37000.00 	3715.50 		286285.23 	0.01 	560456.52 	46289.34 				
9576	USGSMW038	MW	23-Jul-10	CSO	53000.00 	11800.00 	47906.52 		59058.75 	0.81 	276894.64 	172025.28 				
9577	USGSMC038	MC	23-Jul-10	CSO	50000.00 	18500.00 	244486.99 	68070.00 	356763.84 	0.69 	250010.41 	BLD	168915.00 			
9609	USGSUW016	UW	26-Jul-10	CSO	290.00 	1000.00 	BLD	173.00 	1907.91 		11690.54 	1219.11 	1095.00 			
9610	USGSMF028	MF	26-Jul-10	CSO	190.00 	330.00 	BLD	BLD	BLD		5814.07 	BLD	420.00 			
9611	USGSHW033	HW	26-Jul-10	CSO	6000.00 	3400.00 	5792.96 		8294.88 	0.70 	51784.14 	5559.92 				
9612	USGSLD030	LD	26-Jul-10	CSO	550.00 	1400.00 	BLD	120.00 	BLD		24340.18 	BLD	893.00 			
9613	USGSMW039	MW	26-Jul-10	CSO	190.00 	240.00 	1476.71 		1016.70 	1.45 	4958.27 	1399.50 				
9614	USGSMC038	MC	26-Jul-10	CSO	520.00 	1700.00 	2089.33 		BLD		25286.94 	10052.21 				
9762	USGSLD031	LD	02-Sep-10	Rain	143.00 	144.00 	3956.67 	1140.00 	82740.38 	0.05 	141172.76 	BLD	285.00 			
9763	USGSMC040	MC	02-Sep-10	Rain	7900.00 	24900.00 	23579.08 	6885.00 	5272.15 	4.47 	163176.40 	8948.53 	11108.00 			
9764	USGSHW036	HW	02-Sep-10	Rain	21000.00 	44000.00 	9054.46 		32388.19 	0.28 	368401.43 	14577.30 				
9765	USGSMF029	MF	02-Sep-10	Rain	8900.00 	11200.00 	BLD	585.00 	27918.60 		120867.34 	5578.24 	5993.00 			
9827	USGSHW034	HW	05-Aug-10	Baseflow	580.00 	920.00 	5492.37 	1688.00 	4139.07 	1.33 	19789.12 	2376.04 	2648.00 			
9828	USGSMC039	MC	05-Aug-10	Baseflow	50.00 	290.00 	4159.35 		5507.88 	0.76 	5127.95 	3199.14 				
9829	USGSMW040	MW	05-Aug-10	Baseflow	350.00 	350.00 	763.43 		3699.81 	0.21 	3444.70 	1157.42 				
9888	USGSUW017	UW	23-Aug-10	Rain	8700.00 	9900.00 	4029.69 		1350340.36 	0.00 	207940.16 	2327.24 				
9889	USGSSHW035	HW	23-Aug-10	Rain	11000.00 	20500.00 	8524.78 		435646.32 	0.02 	381479.32 	25580.30 				
10039	USGSHW037	HW	14-Sep-10	Baseflow	360.00 	630.00 	BLD	BLD	14100.62 		44940.99 	BLD	0.00 			
10040	USGSMC041	MC	14-Sep-10	Baseflow	80.00 	430.00 	BLD	180.00 	95619.45 		8881.14 	BLD	323.00 			
10041	USGSMW041	MW	14-Sep-10	Baseflow	230.00 	360.00 	36000.00 		423654.98 	0.08 	21351.87 	18005.15 				
10042	USGSLD032	LD	14-Sep-10	Baseflow	520.00 	580.00 	58000.00 	473.00 	1056913.35 	0.05 	12944.52 	884.84 	293.00 			
10043	USGSMF030	MF	14-Sep-10	Baseflow	330.00 	250.00 	BLD	120.00 	127487.13 		10728.15 	BLD	0.00 			
10122	USGSUW020	UW	14-Oct-10	Baseflow	20.00 	250.00 	434.58 		175175.26 	0.00 	10058.01 	1518.01 				
10123	USGSMC042	MC	14-Oct-10	Baseflow	0.00 	90.00 	1005.87 		48588.59 	0.02 	3206.61 	882.63 				
10124	USGSHW036	HW	14-Oct-10	Baseflow	20.00 	150.00 	BLD	*	76760.50 		8342.35 	345.55 	255.00 			*not enough sample to run Bac Hum again
10147	USGS 16th	MC	25-Oct-10	Rain	4800.00 	10200.00 	19577.42 		2424895.15 	0.01 	735113.10 	18866.41 				
10148	USGSDong	LD	25-Oct-10	Rain	4700.00 	5600.00 	11817.48 		7166472.71 	0.00 	742417.26 	6505.71 				
10149	USGSUND	UW	25-Oct-10	Rain	6000.00 	26500.00 	BLD	1245.00 	1759235.67 		632168.16 	6232.15 	4973.00 			
10150	USGSMNE	MF	25-Oct-10	Rain	4000.00 	7500.00 	2402.12 		877104.67 	0.00 	360997.76 	2906.53 				
10214	Underwood	UW	26-Oct-10	Rain	36000.00 	24000.00 	2633.82 		1365048.24 	0.00 	635638.51 	4191.34 				
10215	MF	MF	26-Oct-10	Rain	4700.00 	2400.00 	BLD	1155.00 	157139.67 		37222.33 	BLD	915.00 			
10216	Donges	LD	26-Oct-10	Rain	1000.00 	900.00 	BLD	BLD	88229.65 		12655.53 	BLD	195.00 			
10217	16th St	MC	26-Oct-10	Rain	3000.00 	4600.00 	BLD	488.00 	165738.70 		91091.87 	4951.56 	3338.00 			
10326	Underwood	UW	11-Nov-10	Baseflow	360.00 	340.00 	BLD	180.00 	271677.48 		13689.85 	BLD	278.00 			
10327	Men Falls	MF	11-Nov-10	Baseflow	120.00 	90.00 	BLD	BLD	76784.09 		2547.64 	BLD	BLD			
10328	Donges	LD	11-Nov-10	Baseflow	120.00 	120.00 	BLD	*	153975.61 		2479.19 	BLD	BLD			*not enough sample to run Bac Hum again
10329	Honey	HW	11-Nov-10	Baseflow	240.00 	210.00 	363.44 	*	154729.21 	0.00 	5039.48 	0.00 	BLD			*not enough sample to run Bac Hum again
10336	Underwood	UW	23-Nov-10	Rain	20300.00 	23300.00 	6551.62 		9553415.85 	0.00 	675808.11 	40017.50 				
10337	Men Falls	MF	23-Nov-10	Rain	6200.00 	6400.00 	2024.53 		2001947.34 	0.00 	97317.09 	2676.95 				
10338	16th	MC	23-Nov-10	Rain	12000.00 	9800.00 	50139.41 	18420.00 	5498489.96 	0.01 	285635.75 	34653.87 	34965.00 			
10339	Honey	HW	23-Nov-10	Rain	26800.00 	18600.00 	27202.45 		17568593.46 	0.00 	735921.00 	29592.46 				
10340	Underwood	UW	01-Dec-10	Rain	7200.00 	7300.00 	3650.25 		3512947.11 	0.00 	189172.84 	15906.78 				
10341	Honey	HW	01-Dec-10	Rain	9000.00 	10400.00 	47981.44 		7832826.78 	0.01 	331233.02 	44007.68 				
10358	16th	MC	13-Dec-10	Rain	2800.00 	2500.00 	27716.52 		2853477.27 	0.01 	223553.04 	40929.57 				
10359	Honey	HW	13-Dec-10	Rain	2700.00 	3500.00 	19861.70 		4901986.16 	0.00 	327317.72 	31289.57 				
10360	Underwood	UW	13-Dec-10	Rain	2900.00 	3600.00 	4763.12 		2252455.23 	0.00 	211967.52 	14929.97 				
10364	Honey	HW	20-Dec-10	Baseflow	190.00 	280.00 	28381.05 		641766.72 	0.04 	53371.79 	16043.00 				
10365	16th	MC	20-Dec-10	Baseflow	10.00 	70.00 	4802.11 		287760.19 	0.02 	20670.22 	6120.40 				
10366	Underwood	UW	20-Dec-10	Baseflow	160.00 	330.00 	901.94 		2298855.80 	0.00 	82740.51 	3231.43 				
10372	16th	MC	06-Jan-11	Baseflow	30.00 	90.00 	16243.87 		1342038.26 	0.01 	40757.88 	15995.53 				
10373	Donges	LD	06-Jan-11	Baseflow	70.00 	160.00 	5365.44 	1470.00 	194564.31 	0.03 	5506.94 	1067.29 	866.00 			
10454	USGSHoney	HW	06-Jan-11	Baseflow	210.00 	130.00 	12584.05 		387152.23 	0.03 	105558.74 	10058.05 				
10455	Uunderwood	UW	06-Jan-11	Baseflow	170.00 	300.00 	457.37 		1066778.52 	0.00 	26760.22 	637.20 				
10456	Umen Falls	MF	06-Jan-11	Baseflow	20.00 	10.00 	401.21 	68.00 	93561.35 	0.00 	3084.31 	BLD	143.00 			
10468	USG16th St	MC	21-Feb-11	Baseflow	0.00 	90.00 	1769.02 		197265.14 	0.01 	22609.12 	3858.16 				
10469	USGSHoney	HW	21-Feb-11	Baseflow	0.00 	100.00 	BLD	390.00 	200292.46 		60030.40 	12255.18 	6983.00 			
10470	USGSDonges	LD	21-Feb-11	Baseflow	91.00 	320.00 	BLD	525.00 	4781870.11 		232185.68 	15451.74 	4493.00 			
10471	Umen Falls	MF	21-Feb-11	Baseflow	0.00 	80.00 	BLD	203.00 	277860.69 		58469.35 	BLD	870.00 			
10475	USG16th St	MC	01-Mar-11	Baseflow	15.00 	16.00 	5604.53 		274917.44 	0.02 	23407.46 	4365.30 				
10476	USGSDonges	LD	01-Mar-11	Baseflow	63.00 	19.00 	2718.10 		166622.45 	0.02 	3860.87 	2144.67 				
10477	USGSHoney	HW	01-Mar-11	Baseflow	182.00 	108.00 	199106.60 		2813766.91 	0.07 	26091.16 	160715.51 				
10478	Uunderwood	UW	01-Mar-11	Baseflow	72.00 	215.00 	1558.70 		316927.65 	0.00 	7939.26 	2176.03 				
10479	Umen Falls	MF	01-Mar-11	Baseflow	91.00 	60.00 	BLD	BLD	201363.53 		5932.14 	BLD	113.00 			
10480	USGSHoney	HW	10-Mar-11	Rain	1010.00 	880.00 	27486.08 		918151.79 	0.03 	73482.51 	36580.13 				
10481	USGSMenF	MF	10-Mar-11	Rain	180.00 	150.00 	2930.52 	840.00 	422606.40 	0.01 	16632.85 	1350.95 	893.00 			
10482	USGSUnd	UW	10-Mar-11	Rain	1150.00 	1490.00 	3732.40 		1334037.81 	0.00 	71670.81 	16635.23 				
10483	USGS16th	MC	10-Mar-11	Rain	460.00 	450.00 	38210.44 		1257884.51 	0.03 	52356.04 	34161.48 				
10484	USGSDong	LD	10-Mar-11	Rain	470.00 	260.00 	15438.81 	4283.00 	1048019.12 	0.01 	71796.57 	7702.53 	4913.00 			
10487	USGS16th	MC	17-Mar-11	Baseflow	120.00 	140.00 	9965.05 		402727.70 	0.02 	24611.26 	8932.85 				
10488	USGSDonges	LD	17-Mar-11	Baseflow	160.00 	270.00 	8959.72 		2808832.98 	0.00 	363431.64 	18621.84 				
10489	USGSHoney	HW	17-Mar-11	Baseflow	380.00 	340.00 	12480.22 	3788.00 	386562.77 	0.03 	36684.66 	6181.61 	4943.00 			
10490	USGSUnd	UW	17-Mar-11	Baseflow	440.00 	610.00 	3421.81 		374665.87 	0.01 	17982.67 	3021.33 				
10491	USGS MenFa	MF	17-Mar-11	Baseflow	210.00 	90.00 	BLD	113.00 	554559.50 		41212.46 	BLD	473.00 			
